VisitorID,Visits,PageViews,Hits,TotalHits,HitNumber,a_diffdays_latest,a_diffdays_oldest,Device,Sistema,Morning Visits,DaytimeVisits,Evening Visits,Midnight Visits,Goal1,Goal2,Goal3,Conversion
98,1,1,2,1,1,15,15,DESKTOP,WINDOWS,0,0,0,1,0,0,0,FALSE
99,1,1,2,2,1,15,15,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
100,1,2,3,165,1,15,15,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
101,1,1,2,1,1,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
102,1,1,2,1,1,15,15,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
103,1,1,2,1,1,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
104,1,1,2,13,1,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
105,1,2,4,42,3,15,15,DESKTOP,WINDOWS,0,0,1,0,0,0,0,TRUE
106,1,1,2,1,1,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
107,1,1,2,1,1,15,15,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
108,1,1,2,2,1,15,15,DESKTOP,WINDOWS,0,0,0,1,0,0,0,FALSE
109,1,1,1,1,1,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
110,1,1,2,1,1,15,15,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
111,1,1,2,1,1,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
112,1,2,4,27,3,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
113,1,2,3,87,2,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
114,1,2,4,27,3,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
115,1,1,2,1,1,15,15,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
116,1,1,2,3,1,15,15,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
117,1,1,2,1,1,15,15,DESKTOP,MAC-OS,1,0,0,0,0,0,0,FALSE
118,10,10,20,10,10,5,43,DESKTOP,WINDOWS,1,5,4,0,0,0,0,TRUE
119,2,2,4,1,2,9,9,DESKTOP,WINDOWS,2,0,0,0,0,0,0,FALSE
120,1,1,2,2,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
121,18,18,36,98,18,1,44,DESKTOP,WINDOWS,9,9,0,0,0,0,0,TRUE
122,1,1,2,1,1,9,9,DESKTOP,WINDOWS,1,0,0,0,0,0,0,TRUE
123,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
124,1,1,2,3,1,9,9,DESKTOP,WINDOWS,0,0,0,1,0,0,0,TRUE
125,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
126,1,1,2,49,1,9,9,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
127,1,1,2,1,1,9,9,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
